director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,bow
Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Mystery Thriller,insidious: the last key,lin shaye angus sampson leigh whannell adam robitel horror mystery thriller
Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Thriller Drama,the strange ones,alex pettyfer james freedson-jackson emily althaus lauren wolkstein thriller drama
Warwick Thornton,Bryan Brown,Sam Neill,,Drama History Western,sweet country,bryan brown sam neill  warwick thornton drama history western
Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller,the commuter,liam neeson vera farmiga patrick wilson jaume collet-serra action thriller
Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Thriller Action Crime,proud mary,taraji p. henson billy brown danny glover babak najafi thriller action crime
Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action,acts of violence,bruce willis cole hauser shawn ashmore brett donowho action
Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Comedy Drama,freak show,alex lawther abigail breslin bette midler trudie styler comedy drama
Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Comedy,humor me,jemaine clement elliott gould ingrid michaelson sam hoffman comedy
Daniela Thomas,Adriano Carvalho,Luana Nastas,,Drama,vazante,adriano carvalho luana nastas  daniela thomas drama
Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Fantasy Adventure Animation,mary and the witch's flower,ruby barnhill louis ashbourne serkis kate winslet hiromasa yonebayashi fantasy adventure animation
Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,War Drama Action History,12 strong,chris hemsworth michael shannon michael peña nicolai fuglsig war drama action history
Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber,Action Thriller Crime,den of thieves,gerard butler 50 cent pablo schreiber christian gudegast action thriller crime
Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama Music,forever my girl,alex roe jessica rothe john benjamin hickey bethany ashton wolf romance drama music
Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Science Fiction Action,maze runner: the death cure,dylan o'brien kaya scodelario thomas brodie-sangster wes ball science fiction action
Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha,Comedy Crime,the insult,adel karam camille salameh kamel el basha ziad doueiri comedy crime
Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by,dakota fanning toni collette alice eve ben lewin comedy drama
The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Thriller Horror,winchester,helen mirren jason clarke sarah snook the spierig brothers thriller horror
Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Action Horror Thriller,armed,mario van peebles william fichtner ryan guzman mario van peebles action horror thriller
Julius Onah,Daniel Brühl,Elizabeth Debicki,Aksel Hennie,Horror Science Fiction Action Thriller,the cloverfield paradox,daniel brühl elizabeth debicki aksel hennie julius onah horror science fiction action thriller
Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Horror,bad apples,brea grant graham skipper aly fitzgerald bryan coyne horror
Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne,Animation Adventure Family,peter rabbit,james corden domhnall gleeson rose byrne will gluck animation adventure family
James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,Drama Romance,fifty shades freed,dakota johnson jamie dornan kim basinger james foley drama romance
Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,History Drama Thriller,the 15:17 to paris,anthony sadler alek skarlatos spencer stone clint eastwood history drama thriller
Marco Polo Constandse,Marco Polo Constandse (director); Omar Chaparro,Marimar Vega,Ryan Carnes,Comedy,la boda de valentina,marco polo constandse (director); omar chaparro marimar vega ryan carnes marco polo constandse comedy
Surendra Poudel,Anmol K.C.,Aditi Budhathoki,Anoop Bikram Shahi,,kri,anmol k.c. aditi budhathoki anoop bikram shahi surendra poudel 
Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost,,monster family,emily watson jason isaacs nick frost holger tappe 
Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Drama,golden exits,emily browning adam horowitz mary-louise parker alex ross perry drama
,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Action Adventure Science Fiction,black panther,chadwick boseman michael b. jordan lupita nyong'o  action adventure science fiction
Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams,Family Comedy Animation Adventure,early man,eddie redmayne tom hiddleston maisie williams nick park family comedy animation adventure
Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Comedy,the party,timothy spall kristin scott thomas patricia clarkson sally potter comedy
Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn,Drama,nostalgia,jon hamm nick offerman amber tamblyn mark pellington drama
Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea,Drama Western,black '47,hugo weaving jim broadbent stephen rea lance daly drama western
Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Action Drama Adventure,samson,taylor james jackson rathbone billy zane bruce macdonald action drama adventure
"Jonathan Goldstein, John Francis Daley",Jason Bateman,Rachel McAdams,Kyle Chandler,Mystery Comedy Crime,game night,"jason bateman rachel mcadams kyle chandler jonathan goldstein, john francis daley mystery comedy crime"
Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Action Science Fiction Horror Mystery,annihilation,natalie portman jennifer jason leigh gina rodriguez alex garland action science fiction horror mystery
Michael Sucsy,Angourie Rice,Maria Bello,Debby Ryan,Drama Fantasy Romance,every day,angourie rice maria bello debby ryan michael sucsy drama fantasy romance
David Freyne,David Freyne (director); Ellen Page,Sam Keeley,Tom Vaughan-Lawlor,Horror Drama Science Fiction,the cured,david freyne (director); ellen page sam keeley tom vaughan-lawlor david freyne horror drama science fiction
Brian O'Malley,Charlotte Vega,Bill Milner,Eugene Simon,Drama Horror Romance Thriller,the lodgers,charlotte vega bill milner eugene simon brian o'malley drama horror romance thriller
Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Mystery Thriller,red sparrow,jennifer lawrence joel edgerton matthias schoenaerts francis lawrence mystery thriller
Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris,Action Crime Drama Thriller,death wish,bruce willis vincent d'onofrio dean norris eli roth action crime drama thriller
Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan,Mystery Drama,the vanishing of sidney hall,logan lerman elle fanning michelle monaghan shawn christensen mystery drama
Samuel Maoz,Lior Ashkenazi,Sarah Adler,Yonatan Shiray,Comedy Drama War,foxtrot,lior ashkenazi sarah adler yonatan shiray samuel maoz comedy drama war
Usher Morgan,Elyse Price,Joel Bernard,Katie Vincent,Action Crime Thriller Drama Mystery,pickings,elyse price joel bernard katie vincent usher morgan action crime thriller drama mystery
Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon,Adventure Science Fiction Family Fantasy,a wrinkle in time,storm reid oprah winfrey reese witherspoon ava duvernay adventure science fiction family fantasy
Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton,Comedy Action,gringo,david oyelowo charlize theron joel edgerton nash edgerton comedy action
Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Drama Thriller,thoroughbreds,olivia cooke anya taylor-joy anton yelchin cory finley drama thriller
Armando Iannucci,Steve Buscemi,Simon Russell Beale,Paddy Considine,Comedy Drama History,the death of stalin,steve buscemi simon russell beale paddy considine armando iannucci comedy drama history
Paolo Virzì,Donald Sutherland,Helen Mirren,,Drama Romance Adventure,the leisure seeker,donald sutherland helen mirren  paolo virzì drama romance adventure
Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Horror Thriller,the strangers: prey at night,christina hendricks martin henderson bailee madison johannes roberts horror thriller
Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten,Action Crime Thriller,the hurricane heist,toby kebbell maggie grace ryan kwanten rob cohen action crime thriller
Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Action Adventure Fantasy,tomb raider,alicia vikander dominic west walton goggins roar uthaug action adventure fantasy
Greg Berlanti,Nick Robinson,Katherine Langford,Alexandra Shipp,Comedy Drama Romance,"love, simon",nick robinson katherine langford alexandra shipp greg berlanti comedy drama romance
Jon Erwin,Cloris Leachman,Dennis Quaid,Priscilla Shirer,Music Drama,i can only imagine,cloris leachman dennis quaid priscilla shirer jon erwin music drama
José Padilha,Rosamund Pike,Daniel Brühl,Vincent Cassel,Thriller Drama Crime,7 days in entebbe,rosamund pike daniel brühl vincent cassel josé padilha thriller drama crime
Laurie Collyer,Melissa Leo,Tessa Thompson,La La Anthony,Comedy,furlough,melissa leo tessa thompson la la anthony laurie collyer comedy
Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Thriller Drama,josie,sophie turner dylan mcdermott jack kilmer eric england thriller drama
Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Drama Comedy,flower,zoey deutch kathryn hahn tim heidecker max winkler drama comedy
Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny,Action Fantasy Science Fiction Adventure,pacific rim: uprising,john boyega scott eastwood cailee spaeny steven s. deknight action fantasy science fiction adventure
Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray,Adventure Comedy Animation,isle of dogs,bryan cranston edward norton bill murray wes anderson adventure comedy animation
John Stevenson,James McAvoy,Emily Blunt,Johnny Depp,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes,james mcavoy emily blunt johnny depp john stevenson animation family fantasy comedy adventure mystery
Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Horror Thriller,unsane,claire foy joshua leonard jay pharoah steven soderbergh horror thriller
Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez,History Drama,"paul, apostle of christ",james faulkner jim caviezel olivier martinez andrew hyatt history drama
Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy,Drama History,final portrait,geoffrey rush armie hammer clémence poésy stanley tucci drama history
Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Romance Drama,midnight sun,bella thorne patrick schwarzenegger rob riggle scott speer romance drama
Ryan Justice,Amanda Delaney,Justin Maina,Sean Michael Gloria,Thriller,followers,amanda delaney justin maina sean michael gloria ryan justice thriller
Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Science Fiction Adventure Action,ready player one,tye sheridan olivia cooke ben mendelsohn steven spielberg science fiction adventure action
Tyler Perry,Taraji P. Henson,Lyriq Bent,Tika Sumpter,Thriller,tyler perry's acrimony,taraji p. henson lyriq bent tika sumpter tyler perry thriller
Michael Mason,David A. R. White,John Corbett,Shane Harper,Drama,god's not dead: a light in darkness,david a. r. white john corbett shane harper michael mason drama
Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Drama,the last movie star,burt reynolds ariel winter clark duke adam rifkin drama
John Krasinski,John Krasinski,Emily Blunt,Millicent Simmonds,Horror Drama Science Fiction,a quiet place,john krasinski emily blunt millicent simmonds john krasinski horror drama science fiction
Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Comedy,blockers,leslie mann ike barinholtz john cena kay cannon comedy
Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,Alex Manette,Thriller Drama,you were never really here,joaquin phoenix ekaterina samsonov alex manette lynne ramsay thriller drama
John Curran,Jason Clarke,Kate Mara,Ed Helms,Drama Thriller History,chappaquiddick,jason clarke kate mara ed helms john curran drama thriller history
"Drew Fellman, David Douglas",Kristen Bell,,,Documentary,pandas,"kristen bell   drew fellman, david douglas documentary"
Andrew Haigh,Charlie Plummer,Chloë Sevigny,Travis Fimmel,Drama Adventure,lean on pete,charlie plummer chloë sevigny travis fimmel andrew haigh drama adventure
Sean McNamara,Helen Hunt,William Hurt,Erin Moriarty,Drama,the miracle season,helen hunt william hurt erin moriarty sean mcnamara drama
Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Action Thriller Drama,beirut,jon hamm rosamund pike dean norris brad anderson action thriller drama
Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane,Thriller Horror,truth or dare,lucy hale tyler posey violett beane jeff wadlow thriller horror
Chloé Zhao,Brady Jandreau,,,Western Drama,the rider,brady jandreau   chloé zhao western drama
Richard Lanni,Logan Lerman,Helena Bonham Carter,Gérard Depardieu,Animation Adventure Family History War,sgt. stubby: an american hero,logan lerman helena bonham carter gérard depardieu richard lanni animation adventure family history war
"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Emily Ratajkowski,Comedy Romance,i feel pretty,"amy schumer michelle williams emily ratajkowski abby kohn, marc silverstein comedy romance"
Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,Steve Lemme,Comedy Crime Mystery,super troopers 2,jay chandrasekhar paul soter steve lemme jay chandrasekhar comedy crime mystery
Deon Taylor,Paula Patton,Omar Epps,Missi Pyle,Horror Thriller,traffik,paula patton omar epps missi pyle deon taylor horror thriller
Peter Livolsi,Asa Butterfield,Nick Offerman,Ellen Burstyn,Drama,the house of tomorrow,asa butterfield nick offerman ellen burstyn peter livolsi drama
Naoko Yamada,Atsumi Tanezaki,Nao Tōyama,,Animation Drama Music,liz and the blue bird,atsumi tanezaki nao tōyama  naoko yamada animation drama music
Anthony Russo and Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Adventure Action Science Fiction,avengers: infinity war,robert downey jr. chris hemsworth mark ruffalo anthony russo and joe russo adventure action science fiction
Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Drama Romance,disobedience,rachel weisz rachel mcadams alessandro nivola sebastián lelio drama romance
Per Fly,Ben Kingsley,Theo James,Jacqueline Bisset,Thriller Drama History,backstabbing for beginners,ben kingsley theo james jacqueline bisset per fly thriller drama history
Deniz Gamze Ergüven,Halle Berry,Daniel Craig,,Adventure Drama Action,kings,halle berry daniel craig  deniz gamze ergüven adventure drama action
,Anna Faris,Eugenio Derbez,Eva Longoria,Romance Comedy,overboard,anna faris eugenio derbez eva longoria  romance comedy
Jason Reitman,Charlize Theron,Mackenzie Davis,Mark Duplass,Drama,tully,charlize theron mackenzie davis mark duplass jason reitman drama
Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,Thriller Crime Horror,bad samaritan,david tennant robert sheehan carlito olivero dean devlin thriller crime horror
Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Drama Comedy Fantasy,the cleanse,johnny galecki anna friel oliver platt bobby miller drama comedy fantasy
Xavier Beauvois,Nathalie Baye,,,Family Animation Fantasy Action Adventure,the guardians,nathalie baye   xavier beauvois family animation fantasy action adventure
Ben Falcone,Melissa McCarthy,Maya Rudolph,Molly Gordon,Comedy,life of the party,melissa mccarthy maya rudolph molly gordon ben falcone comedy
James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral,Thriller Crime Action Horror,breaking in,gabrielle union billy burke richard cabral james mcteigue thriller crime action horror
Michael Mayer,Saoirse Ronan,Annette Bening,Corey Stoll,Drama Romance Comedy,the seagull,saoirse ronan annette bening corey stoll michael mayer drama romance comedy
Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher,Comedy Drama,terminal,margot robbie simon pegg dexter fletcher vaughn stein comedy drama
Coralie Fargeat,Matilda Lutz,Kevin Janssens,Vincent Colombe,Animation Action Fantasy,revenge,matilda lutz kevin janssens vincent colombe coralie fargeat animation action fantasy
David Leitch,Ryan Reynolds,Josh Brolin,Zazie Beetz,Action Comedy Adventure,deadpool 2,ryan reynolds josh brolin zazie beetz david leitch action comedy adventure
Bill Holderman,Jane Fonda,Candice Bergen,Mary Steenburgen,Comedy Romance Drama,book club,jane fonda candice bergen mary steenburgen bill holderman comedy romance drama
Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric Kyles,Drama,first reformed,ethan hawke amanda seyfried cedric kyles paul schrader drama
Wim Wenders,Wim Wenders (director); Pope Francis,,,Documentary,pope francis: a man of his word,wim wenders (director); pope francis   wim wenders documentary
Raja Gosnell,Will Arnett,Natasha Lyonne,Ludacris,Adventure Crime Family Comedy,show dogs,will arnett natasha lyonne ludacris raja gosnell adventure crime family comedy
Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Science Fiction Adventure,solo: a star wars story,alden ehrenreich woody harrelson emilia clarke ron howard science fiction adventure
Anthony Byrne,Natalie Dormer,Emily Ratajkowski,Ed Skrein,Thriller Mystery,in darkness,natalie dormer emily ratajkowski ed skrein anthony byrne thriller mystery
Bruce LaBruce,Susanne Sachße,Viva Ruiz,Kembra Pfahler,Drama,the misandrists,susanne sachße viva ruiz kembra pfahler bruce labruce drama
"James Franco, Bruce Thierry Cheung",James Franco,Suki Waterhouse,Jeffrey Wahlberg,Science Fiction,future world,"james franco suki waterhouse jeffrey wahlberg james franco, bruce thierry cheung science fiction"
Tim Kirkby,Johnny Knoxville,Chris Pontius,,Comedy Drama,action point,johnny knoxville chris pontius  tim kirkby comedy drama
Baltasar Kormákur,Shailene Woodley,Sam Claflin,,Thriller Romance Adventure,adrift,shailene woodley sam claflin  baltasar kormákur thriller romance adventure
Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Action Thriller Science Fiction,upgrade,logan marshall-green betty gabriel harrison gilbertson leigh whannell action thriller science fiction
Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Drama Crime Documentary,american animals,evan peters barry keoghan blake jenner bart layton drama crime documentary
Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash,Comedy Romance,social animals,noël wells josh radnor aya cash theresa bennett comedy romance
Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Crime Comedy Action,ocean's 8,sandra bullock cate blanchett anne hathaway gary ross crime comedy action
Morgan Neville,Morgan Neville (director); Fred Rogers,,,Documentary,won't you be my neighbor?,morgan neville (director); fred rogers   morgan neville documentary
Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Horror Mystery Thriller,hereditary,toni collette alex wolff milly shapiro ari aster horror mystery thriller
Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Thriller Science Fiction Action,hotel artemis,jodie foster sterling k. brown sofia boutella drew pearce thriller science fiction action
Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Action Crime,superfly,trevor jackson jason mitchell michael k. williams director x action crime
Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Action Adventure Animation Family,incredibles 2,craig t. nelson holly hunter sarah vowell brad bird action adventure animation family
Jeff Tomsic,Ed Helms,Jeremy Renner,Jon Hamm,Comedy Drama Action,tag,ed helms jeremy renner jon hamm jeff tomsic comedy drama action
Dominic Cooke,Saoirse Ronan,Billy Howle,Emily Watson,Drama Romance,on chesil beach,saoirse ronan billy howle emily watson dominic cooke drama romance
Kevin Connolly,John Travolta,Kelly Preston,Stacy Keach,Crime Drama History Thriller,gotti,john travolta kelly preston stacy keach kevin connolly crime drama history thriller
J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Action Adventure Science Fiction,jurassic world: fallen kingdom,chris pratt bryce dallas howard rafe spall j.a. bayona action adventure science fiction
Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Comedy Drama,boundaries,vera farmiga christopher plummer lewis macdougall shana feste comedy drama
,Robert Pattinson,Mia Wasikowska,,Comedy Western,damsel,robert pattinson mia wasikowska   comedy western
Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Thriller Horror,the domestics,tyler hoechlin kate bosworth lance reddick mike p. nelson thriller horror
Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Moner,Action Crime Drama Thriller,sicario: day of the soldado,benicio del toro josh brolin isabela moner stefano sollima action crime drama thriller
Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober,Drama,leave no trace,ben foster thomasin mckenzie jeff kober debra granik drama
Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Comedy,uncle drew,kyrie irving lil rel howery shaquille o'neal charles stone iii comedy
Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Drama History Western,woman walks ahead,jessica chastain michael greyeyes chaske spencer susanna white drama history western
Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Action Science Fiction Thriller Horror Crime,the first purge,y'lan noel lex scott davis joivan wade gerard mcmurray action science fiction thriller horror crime
Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Action Adventure Science Fiction,ant-man and the wasp,paul rudd evangeline lilly michael peña peyton reed action adventure science fiction
Boots Riley,Lakeith Stanfield,Tessa Thompson,Armie Hammer,Fantasy Science Fiction Comedy,sorry to bother you,lakeith stanfield tessa thompson armie hammer boots riley fantasy science fiction comedy
Kevin MacDonald,Whitney Houston,,,Music Documentary,whitney,whitney houston   kevin macdonald music documentary
Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Family Fantasy Comedy Animation,hotel transylvania 3: summer vacation,adam sandler andy samberg selena gomez genndy tartakovsky family fantasy comedy animation
Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Action,skyscraper,dwayne johnson neve campbell chin han rawson marshall thurber action
Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Comedy Drama,eighth grade,elsie fisher josh hamilton emily robinson bo burnham comedy drama
Gus Van Sant,Joaquin Phoenix,Rooney Mara,Jonah Hill,Comedy Drama,"don't worry, he won't get far on foot",joaquin phoenix rooney mara jonah hill gus van sant comedy drama
Rob Reiner,Woody Harrelson,Tommy Lee Jones,James Marsden,Drama History Thriller,shock and awe,woody harrelson tommy lee jones james marsden rob reiner drama history thriller
Ol Parker,Lily James,Amanda Seyfried,Pierce Brosnan,Comedy Romance,mamma mia! here we go again,lily james amanda seyfried pierce brosnan ol parker comedy romance
Antoine Fuqua,Denzel Washington,Ashton Sanders,Pedro Pascal,Action Thriller Crime,the equalizer 2,denzel washington ashton sanders pedro pascal antoine fuqua action thriller crime
Carlos López Estrada,Janina Gavankar,Ethan Embry,Daveed Diggs,Comedy Drama,blindspotting,janina gavankar ethan embry daveed diggs carlos lópez estrada comedy drama
Stephen Susco,Colin Woodell,Rebecca Rittenhouse,Betty Gabriel,Horror Mystery Thriller,unfriended: dark web,colin woodell rebecca rittenhouse betty gabriel stephen susco horror mystery thriller
Shinsuke Sato,Shinsuke Sato (director); Sota Fukushi,Hana Sugisaki,,Action Fantasy Adventure,bleach,shinsuke sato (director); sota fukushi hana sugisaki  shinsuke sato action fantasy adventure
Édouard Deluc,Vincent Cassel,Tuheï Adams,Malik Zidi,Drama Romance,gauguin – voyage de tahiti,vincent cassel tuheï adams malik zidi édouard deluc drama romance
Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Action Adventure,mission: impossible – fallout,tom cruise henry cavill ving rhames christopher mcquarrie action adventure
Peter Rida Michail,Scott Menville,Khary Payton,Tara Strong,Animation Action Comedy Science Fiction,teen titans go! to the movies,scott menville khary payton tara strong peter rida michail animation action comedy science fiction
Tsui Hark,Tsui Hark (director),Chang Chia-lu,Chen Kuo-Fu (screenplay),Mystery Fantasy Adventure Action,detective dee: the four heavenly kings,tsui hark (director) chang chia-lu chen kuo-fu (screenplay) tsui hark mystery fantasy adventure action
Elijah Bynum,Timothée Chalamet,Maika Monroe,Alex Roe,Drama Comedy,hot summer nights,timothée chalamet maika monroe alex roe elijah bynum drama comedy
Marc Turtletaub,Kelly Macdonald,Irrfan Khan,David Denman,Drama,puzzle,kelly macdonald irrfan khan david denman marc turtletaub drama
Marc Forster,Ewan McGregor,Hayley Atwell,Jim Cummings,Adventure Comedy Family Fantasy,christopher robin,ewan mcgregor hayley atwell jim cummings marc forster adventure comedy family fantasy
Jennifer Yuh Nelson,Amandla Stenberg,Mandy Moore,Harris Dickinson,Science Fiction Action Drama Romance Adventure Thriller,the darkest minds,amandla stenberg mandy moore harris dickinson jennifer yuh nelson science fiction action drama romance adventure thriller
Susanna Fogel,Mila Kunis,Kate McKinnon,Justin Theroux,Action Comedy,the spy who dumped me,mila kunis kate mckinnon justin theroux susanna fogel action comedy
Desiree Akhavan,Chloë Grace Moretz,Sasha Lane,John Gallagher,Drama,the miseducation of cameron post,chloë grace moretz sasha lane john gallagher desiree akhavan drama
Augustine Frizzell,Maia Mitchell,Camila Morrone,Kyle Mooney,Comedy,never goin' back,maia mitchell camila morrone kyle mooney augustine frizzell comedy
Ken Marino,Nina Dobrev,Finn Wolfhard,Vanessa Hudgens,Comedy Romance Drama,dog days,nina dobrev finn wolfhard vanessa hudgens ken marino comedy romance drama
Jon Turteltaub,Jason Statham,Li Bingbing,Rainn Wilson,Action Science Fiction Horror,the meg,jason statham li bingbing rainn wilson jon turteltaub action science fiction horror
Spike Lee,John David Washington,Adam Driver,Laura Harrier,Crime Drama History Comedy,blackkklansman,john david washington adam driver laura harrier spike lee crime drama history comedy
Sylvain White,Joey King,Julia Goldani Telles,Jaz Sinclair,Mystery Thriller Horror,slender man,joey king julia goldani telles jaz sinclair sylvain white mystery thriller horror
Jean-Stéphane Sauvaire,Joe Cole,,,Drama Action Crime,a prayer before dawn,joe cole   jean-stéphane sauvaire drama action crime
Jon M. Chu,Constance Wu,Henry Golding,Gemma Chan,Comedy Drama Romance,crazy rich asians,constance wu henry golding gemma chan jon m. chu comedy drama romance
Albert Hughes,Kodi Smit-McPhee,Leonor Varela,Jens Hultén,Adventure Drama,alpha,kodi smit-mcphee leonor varela jens hultén albert hughes adventure drama
Peter Berg,Mark Wahlberg,John Malkovich,Lauren Cohan,Action Thriller,mile 22,mark wahlberg john malkovich lauren cohan peter berg action thriller
Björn Runge,Glenn Close,Jonathan Pryce,Christian Slater,Drama,the wife,glenn close jonathan pryce christian slater björn runge drama
James Cox,Ansel Elgort,Taron Egerton,Kevin Spacey,Drama Thriller,billionaire boys club,ansel elgort taron egerton kevin spacey james cox drama thriller
Jesse Peretz,Ethan Hawke,Rose Byrne,,Comedy Drama Romance,"juliet, naked",ethan hawke rose byrne  jesse peretz comedy drama romance
Rodrigo Cortés,AnnaSophia Robb,Uma Thurman,Isabelle Fuhrman,Thriller Drama Fantasy Horror,down a dark hall,annasophia robb uma thurman isabelle fuhrman rodrigo cortés thriller drama fantasy horror
Brian Henson,Melissa McCarthy,Maya Rudolph,Joel McHale,Action Comedy Crime,the happytime murders,melissa mccarthy maya rudolph joel mchale brian henson action comedy crime
Aneesh Chaganty,John Cho,Debra Messing,,Thriller Mystery Drama,searching,john cho debra messing  aneesh chaganty thriller mystery drama
Michael Noer,Charlie Hunnam,Rami Malek,,Drama History Crime,papillon,charlie hunnam rami malek  michael noer drama history crime
Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Science Fiction Action Adventure Family,a.x.l.,alex neustaedter becky g alex macnicoll oliver daly science fiction action adventure family
Chris Weitz,Oscar Isaac,Ben Kingsley,Lior Raz,Drama History Thriller,operation finale,oscar isaac ben kingsley lior raz chris weitz drama history thriller
"Jonathan Baker, Josh Baker",Myles Truitt,Jack Reynor,Zoë Kravitz,Science Fiction Action,kin,"myles truitt jack reynor zoë kravitz jonathan baker, josh baker science fiction action"
Lenny Abrahamson,Domhnall Gleeson,Ruth Wilson,Will Poulter,Mystery Drama Horror History,the little stranger,domhnall gleeson ruth wilson will poulter lenny abrahamson mystery drama horror history
Victor Levin,Winona Ryder,Keanu Reeves,,Romance Comedy Drama,destination wedding,winona ryder keanu reeves  victor levin romance comedy drama
Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Horror Mystery Thriller,the nun,demián bichir taissa farmiga jonas bloquet corin hardy horror mystery thriller
